continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Asia,QAT,Qatar,2020,4,0,2020-04-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,4,1,2020-04-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,4,2,2020-04-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,4,3,2020-04-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,4,2020-05-01,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,5,2020-05-02,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,6,2020-05-03,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,0,2020-05-04,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,1,2020-05-05,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,2,2020-05-06,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,3,2020-05-07,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,4,2020-05-08,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,5,2020-05-09,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,6,2020-05-10,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,0,2020-05-11,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,1,2020-05-12,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,2,2020-05-13,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,3,2020-05-14,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,4,2020-05-15,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,5,2020-05-16,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,6,2020-05-17,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,0,2020-05-18,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,1,2020-05-19,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,2,2020-05-20,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,3,2020-05-21,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,4,2020-05-22,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,5,2020-05-23,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,6,2020-05-24,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,0,2020-05-25,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,1,2020-05-26,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,2,2020-05-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,3,2020-05-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,4,2020-05-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,5,2020-05-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,5,6,2020-05-31,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,0,2020-06-01,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,1,2020-06-02,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,2,2020-06-03,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,3,2020-06-04,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,4,2020-06-05,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,5,2020-06-06,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,6,2020-06-07,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,0,2020-06-08,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,1,2020-06-09,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,2,2020-06-10,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,3,2020-06-11,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,4,2020-06-12,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,5,2020-06-13,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,6,2020-06-14,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,0,2020-06-15,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,1,2020-06-16,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,2,2020-06-17,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,3,2020-06-18,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,4,2020-06-19,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,5,2020-06-20,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,6,2020-06-21,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,0,2020-06-22,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,1,2020-06-23,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,2,2020-06-24,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,3,2020-06-25,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,4,2020-06-26,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,5,2020-06-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,6,2020-06-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,0,2020-06-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,6,1,2020-06-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,2,2020-07-01,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,3,2020-07-02,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,4,2020-07-03,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,5,2020-07-04,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,6,2020-07-05,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,0,2020-07-06,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,1,2020-07-07,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,2,2020-07-08,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,3,2020-07-09,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,4,2020-07-10,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,5,2020-07-11,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,6,2020-07-12,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,0,2020-07-13,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,1,2020-07-14,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,2,2020-07-15,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,3,2020-07-16,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,4,2020-07-17,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,5,2020-07-18,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,6,2020-07-19,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,0,2020-07-20,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,1,2020-07-21,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,2,2020-07-22,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,3,2020-07-23,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,4,2020-07-24,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,5,2020-07-25,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,6,2020-07-26,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,0,2020-07-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,1,2020-07-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,2,2020-07-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,3,2020-07-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,7,4,2020-07-31,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,5,2020-08-01,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,6,2020-08-02,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,0,2020-08-03,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,1,2020-08-04,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,2,2020-08-05,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,3,2020-08-06,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,4,2020-08-07,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,5,2020-08-08,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,6,2020-08-09,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,0,2020-08-10,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,1,2020-08-11,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,2,2020-08-12,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,3,2020-08-13,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,4,2020-08-14,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,5,2020-08-15,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,6,2020-08-16,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,0,2020-08-17,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,1,2020-08-18,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,2,2020-08-19,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,3,2020-08-20,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,4,2020-08-21,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,5,2020-08-22,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,6,2020-08-23,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,0,2020-08-24,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,1,2020-08-25,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,2,2020-08-26,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,3,2020-08-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,4,2020-08-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,5,2020-08-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,6,2020-08-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,8,0,2020-08-31,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,1,2020-09-01,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,2,2020-09-02,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,3,2020-09-03,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,4,2020-09-04,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,5,2020-09-05,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,6,2020-09-06,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,0,2020-09-07,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,1,2020-09-08,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,2,2020-09-09,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,3,2020-09-10,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,4,2020-09-11,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,5,2020-09-12,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,6,2020-09-13,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,0,2020-09-14,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,1,2020-09-15,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,2,2020-09-16,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,3,2020-09-17,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,4,2020-09-18,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,5,2020-09-19,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,6,2020-09-20,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,0,2020-09-21,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,1,2020-09-22,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,2,2020-09-23,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,3,2020-09-24,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,4,2020-09-25,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,5,2020-09-26,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,6,2020-09-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,0,2020-09-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,1,2020-09-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,9,2,2020-09-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,3,2020-10-01,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,4,2020-10-02,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,5,2020-10-03,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,6,2020-10-04,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,0,2020-10-05,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,1,2020-10-06,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,2,2020-10-07,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,3,2020-10-08,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,4,2020-10-09,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,5,2020-10-10,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,6,2020-10-11,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,0,2020-10-12,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,1,2020-10-13,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,2,2020-10-14,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,3,2020-10-15,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,4,2020-10-16,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,5,2020-10-17,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,6,2020-10-18,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,0,2020-10-19,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,1,2020-10-20,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,2,2020-10-21,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,3,2020-10-22,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,4,2020-10-23,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,5,2020-10-24,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,6,2020-10-25,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,0,2020-10-26,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,1,2020-10-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,2,2020-10-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,3,2020-10-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,4,2020-10-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,10,5,2020-10-31,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,6,2020-11-01,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,0,2020-11-02,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,1,2020-11-03,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,2,2020-11-04,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,3,2020-11-05,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,4,2020-11-06,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,5,2020-11-07,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,6,2020-11-08,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,0,2020-11-09,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,1,2020-11-10,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,2,2020-11-11,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,3,2020-11-12,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,4,2020-11-13,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,5,2020-11-14,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,6,2020-11-15,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,0,2020-11-16,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,1,2020-11-17,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,2,2020-11-18,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,3,2020-11-19,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,4,2020-11-20,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,5,2020-11-21,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,6,2020-11-22,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,0,2020-11-23,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,1,2020-11-24,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,2,2020-11-25,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,3,2020-11-26,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,4,2020-11-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,5,2020-11-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,6,2020-11-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,11,0,2020-11-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,1,2020-12-01,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,2,2020-12-02,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,3,2020-12-03,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,4,2020-12-04,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,5,2020-12-05,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,6,2020-12-06,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,0,2020-12-07,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,1,2020-12-08,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,2,2020-12-09,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,3,2020-12-10,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,4,2020-12-11,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,5,2020-12-12,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,6,2020-12-13,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,0,2020-12-14,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,1,2020-12-15,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,2,2020-12-16,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,3,2020-12-17,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,4,2020-12-18,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,5,2020-12-19,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,6,2020-12-20,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,0,2020-12-21,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,1,2020-12-22,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,2,2020-12-23,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,3,2020-12-24,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,4,2020-12-25,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,5,2020-12-26,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,6,2020-12-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,0,2020-12-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,1,2020-12-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,2,2020-12-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2020,12,3,2020-12-31,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,4,2021-01-01,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,5,2021-01-02,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,6,2021-01-03,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,0,2021-01-04,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,1,2021-01-05,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,2,2021-01-06,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,3,2021-01-07,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,4,2021-01-08,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,5,2021-01-09,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,6,2021-01-10,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,0,2021-01-11,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,1,2021-01-12,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,2,2021-01-13,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,3,2021-01-14,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,4,2021-01-15,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,5,2021-01-16,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,6,2021-01-17,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,0,2021-01-18,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,1,2021-01-19,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,2,2021-01-20,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,3,2021-01-21,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,4,2021-01-22,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,5,2021-01-23,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,6,2021-01-24,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,0,2021-01-25,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,1,2021-01-26,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,2,2021-01-27,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,3,2021-01-28,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,4,2021-01-29,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,5,2021-01-30,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,1,6,2021-01-31,116935.6,,80.23,0.848
Asia,QAT,Qatar,2021,2,0,2021-02-01,116935.6,,80.23,0.848
