continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Oceania,VUT,Vanuatu,2021,1,1,2021-01-05,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,2,2021-01-06,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,3,2021-01-07,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,4,2021-01-08,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,5,2021-01-09,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,6,2021-01-10,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,0,2021-01-11,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,1,2021-01-12,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,2,2021-01-13,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,3,2021-01-14,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,4,2021-01-15,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,5,2021-01-16,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,6,2021-01-17,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,0,2021-01-18,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,1,2021-01-19,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,2,2021-01-20,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,3,2021-01-21,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,4,2021-01-22,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,5,2021-01-23,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,6,2021-01-24,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,0,2021-01-25,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,1,2021-01-26,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,2,2021-01-27,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,3,2021-01-28,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,4,2021-01-29,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,5,2021-01-30,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,1,6,2021-01-31,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,0,2021-02-01,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,1,2021-02-02,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,2,2021-02-03,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,3,2021-02-04,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,4,2021-02-05,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,5,2021-02-06,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,6,2021-02-07,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,0,2021-02-08,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,1,2021-02-09,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,2,2021-02-10,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,3,2021-02-11,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,4,2021-02-12,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,5,2021-02-13,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,6,2021-02-14,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,0,2021-02-15,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2021,2,1,2021-02-16,1.0,0.0,,,3.256,0.0,,,,
Oceania,VUT,Vanuatu,2021,2,2,2021-02-17,1.0,0.0,,,3.256,0.0,,,,
Oceania,VUT,Vanuatu,2021,2,3,2021-02-18,1.0,0.0,,,3.256,0.0,,,,
Oceania,VUT,Vanuatu,2021,2,4,2021-02-19,1.0,0.0,,,3.256,0.0,,,,
Oceania,VUT,Vanuatu,2021,2,5,2021-02-20,1.0,0.0,,,3.256,0.0,,,,
Oceania,VUT,Vanuatu,2021,2,6,2021-02-21,1.0,0.0,,,3.256,0.0,,,,
Oceania,VUT,Vanuatu,2021,2,0,2021-02-22,1.0,0.0,,,3.256,0.0,,,,
Oceania,VUT,Vanuatu,2021,2,1,2021-02-23,1.0,0.0,,,3.256,0.0,,,,
Oceania,VUT,Vanuatu,2021,2,2,2021-02-24,1.0,0.0,,,3.256,0.0,,,,
