continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,ECU,Ecuador,2020,3,5,2020-03-14,28.0,11.0,2.0,2.0,1.587,0.623,0.113,0.113,,36.11
South America,ECU,Ecuador,2020,3,6,2020-03-15,28.0,0.0,2.0,0.0,1.587,0.0,0.113,0.0,,55.56
South America,ECU,Ecuador,2020,3,0,2020-03-16,37.0,9.0,2.0,0.0,2.097,0.51,0.113,0.0,,55.56
South America,ECU,Ecuador,2020,3,1,2020-03-17,58.0,21.0,2.0,0.0,3.287,1.19,0.113,0.0,,93.52
South America,ECU,Ecuador,2020,3,2,2020-03-18,111.0,53.0,2.0,0.0,6.291,3.004,0.113,0.0,,93.52
South America,ECU,Ecuador,2020,3,3,2020-03-19,199.0,88.0,3.0,1.0,11.279,4.988,0.17,0.057,2.7,93.52
South America,ECU,Ecuador,2020,3,4,2020-03-20,367.0,168.0,5.0,2.0,20.801,9.522,0.283,0.113,2.66,93.52
South America,ECU,Ecuador,2020,3,5,2020-03-21,506.0,139.0,7.0,2.0,28.68,7.878,0.397,0.113,2.58,93.52
South America,ECU,Ecuador,2020,3,6,2020-03-22,789.0,283.0,14.0,7.0,44.72,16.04,0.794,0.397,2.49,93.52
South America,ECU,Ecuador,2020,3,0,2020-03-23,981.0,192.0,18.0,4.0,55.603,10.882,1.02,0.227,2.38,93.52
South America,ECU,Ecuador,2020,3,1,2020-03-24,1082.0,101.0,27.0,9.0,61.327,5.725,1.53,0.51,2.28,93.52
