continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,RUS,Russia,2020,1,4,2020-01-31,2.0,2.0,,,0.014,0.014,,,,8.33
Europe,RUS,Russia,2020,2,5,2020-02-01,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,6,2020-02-02,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,0,2020-02-03,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,1,2020-02-04,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,2,2020-02-05,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,3,2020-02-06,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,4,2020-02-07,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,5,2020-02-08,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,6,2020-02-09,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,0,2020-02-10,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,1,2020-02-11,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,2,2020-02-12,2.0,0.0,,,0.014,0.0,,,,8.33
Europe,RUS,Russia,2020,2,3,2020-02-13,2.0,0.0,,,0.014,0.0,,,,8.33
