continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,TLS,Timor,2020,3,6,2020-03-22,1.0,1.0,,,0.758,0.758,,,,13.89
Asia,TLS,Timor,2020,3,0,2020-03-23,1.0,0.0,,,0.758,0.0,,,,30.56
Asia,TLS,Timor,2020,3,1,2020-03-24,1.0,0.0,,,0.758,0.0,,,,30.56
Asia,TLS,Timor,2020,3,2,2020-03-25,1.0,0.0,,,0.758,0.0,,,,30.56
Asia,TLS,Timor,2020,3,3,2020-03-26,1.0,0.0,,,0.758,0.0,,,,30.56
Asia,TLS,Timor,2020,3,4,2020-03-27,1.0,0.0,,,0.758,0.0,,,,30.56
Asia,TLS,Timor,2020,3,5,2020-03-28,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,3,6,2020-03-29,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,3,0,2020-03-30,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,3,1,2020-03-31,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,2,2020-04-01,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,3,2020-04-02,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,4,2020-04-03,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,5,2020-04-04,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,6,2020-04-05,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,0,2020-04-06,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,1,2020-04-07,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,2,2020-04-08,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,3,2020-04-09,1.0,0.0,,,0.758,0.0,,,,75.0
Asia,TLS,Timor,2020,4,4,2020-04-10,2.0,1.0,,,1.517,0.758,,,,75.0
Asia,TLS,Timor,2020,4,5,2020-04-11,2.0,0.0,,,1.517,0.0,,,,75.0
Asia,TLS,Timor,2020,4,6,2020-04-12,2.0,0.0,,,1.517,0.0,,,,75.0
Asia,TLS,Timor,2020,4,0,2020-04-13,4.0,2.0,,,3.034,1.517,,,,77.78
Asia,TLS,Timor,2020,4,1,2020-04-14,6.0,2.0,,,4.551,1.517,,,,77.78
Asia,TLS,Timor,2020,4,2,2020-04-15,8.0,2.0,,,6.068,1.517,,,,77.78
Asia,TLS,Timor,2020,4,3,2020-04-16,18.0,10.0,,,13.652,7.585,,,,77.78
Asia,TLS,Timor,2020,4,4,2020-04-17,18.0,0.0,,,13.652,0.0,,,,77.78
Asia,TLS,Timor,2020,4,5,2020-04-18,18.0,0.0,,,13.652,0.0,,,,77.78
Asia,TLS,Timor,2020,4,6,2020-04-19,19.0,1.0,,,14.411,0.758,,,,77.78
Asia,TLS,Timor,2020,4,0,2020-04-20,22.0,3.0,,,16.686,2.275,,,,77.78
Asia,TLS,Timor,2020,4,1,2020-04-21,23.0,1.0,,,17.445,0.758,,,,77.78
Asia,TLS,Timor,2020,4,2,2020-04-22,23.0,0.0,,,17.445,0.0,,,,77.78
Asia,TLS,Timor,2020,4,3,2020-04-23,23.0,0.0,,,17.445,0.0,,,,77.78
Asia,TLS,Timor,2020,4,4,2020-04-24,24.0,1.0,,,18.203,0.758,,,,77.78
Asia,TLS,Timor,2020,4,5,2020-04-25,24.0,0.0,,,18.203,0.0,,,,77.78
Asia,TLS,Timor,2020,4,6,2020-04-26,24.0,0.0,,,18.203,0.0,,,,77.78
Asia,TLS,Timor,2020,4,0,2020-04-27,24.0,0.0,,,18.203,0.0,,,,77.78
Asia,TLS,Timor,2020,4,1,2020-04-28,24.0,0.0,,,18.203,0.0,,,,77.78
Asia,TLS,Timor,2020,4,2,2020-04-29,24.0,0.0,,,18.203,0.0,,,,77.78
Asia,TLS,Timor,2020,4,3,2020-04-30,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,4,2020-05-01,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,5,2020-05-02,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,6,2020-05-03,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,0,2020-05-04,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,1,2020-05-05,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,2,2020-05-06,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,3,2020-05-07,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,4,2020-05-08,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,5,2020-05-09,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,6,2020-05-10,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,0,2020-05-11,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,1,2020-05-12,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,2,2020-05-13,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,3,2020-05-14,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,4,2020-05-15,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,5,2020-05-16,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,6,2020-05-17,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,0,2020-05-18,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,1,2020-05-19,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,2,2020-05-20,24.0,0.0,,,18.203,0.0,,,,66.67
Asia,TLS,Timor,2020,5,3,2020-05-21,24.0,0.0,,,18.203,0.0,,,,66.67
