continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,MEX,Mexico,2020,1,2,2020-01-01,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,3,2020-01-02,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,4,2020-01-03,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,5,2020-01-04,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,6,2020-01-05,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,0,2020-01-06,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,1,2020-01-07,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,2,2020-01-08,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,3,2020-01-09,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,4,2020-01-10,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,5,2020-01-11,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,6,2020-01-12,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,0,2020-01-13,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,1,2020-01-14,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,2,2020-01-15,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,3,2020-01-16,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,4,2020-01-17,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,5,2020-01-18,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,6,2020-01-19,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,0,2020-01-20,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,1,2020-01-21,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,2,2020-01-22,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,3,2020-01-23,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,4,2020-01-24,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,5,2020-01-25,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,6,2020-01-26,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,0,2020-01-27,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,1,2020-01-28,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,2,2020-01-29,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,3,2020-01-30,,,,,,,,,,0.0
North America,MEX,Mexico,2020,1,4,2020-01-31,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,5,2020-02-01,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,6,2020-02-02,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,0,2020-02-03,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,1,2020-02-04,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,2,2020-02-05,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,3,2020-02-06,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,4,2020-02-07,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,5,2020-02-08,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,6,2020-02-09,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,0,2020-02-10,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,1,2020-02-11,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,2,2020-02-12,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,3,2020-02-13,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,4,2020-02-14,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,5,2020-02-15,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,6,2020-02-16,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,0,2020-02-17,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,1,2020-02-18,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,2,2020-02-19,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,3,2020-02-20,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,4,2020-02-21,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,5,2020-02-22,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,6,2020-02-23,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,0,2020-02-24,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,1,2020-02-25,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,2,2020-02-26,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,3,2020-02-27,,,,,,,,,,0.0
North America,MEX,Mexico,2020,2,4,2020-02-28,1.0,1.0,,,0.008,0.008,,,,2.78
North America,MEX,Mexico,2020,2,5,2020-02-29,4.0,3.0,,,0.031,0.023,,,,2.78
North America,MEX,Mexico,2020,3,6,2020-03-01,5.0,1.0,,,0.039,0.008,,,,2.78
North America,MEX,Mexico,2020,3,0,2020-03-02,5.0,0.0,,,0.039,0.0,,,,2.78
North America,MEX,Mexico,2020,3,1,2020-03-03,5.0,0.0,,,0.039,0.0,,,,2.78
North America,MEX,Mexico,2020,3,2,2020-03-04,5.0,0.0,,,0.039,0.0,,,,2.78
North America,MEX,Mexico,2020,3,3,2020-03-05,5.0,0.0,,,0.039,0.0,,,,2.78
North America,MEX,Mexico,2020,3,4,2020-03-06,6.0,1.0,,,0.047,0.008,,,,2.78
North America,MEX,Mexico,2020,3,5,2020-03-07,6.0,0.0,,,0.047,0.0,,,,2.78
North America,MEX,Mexico,2020,3,6,2020-03-08,7.0,1.0,,,0.054,0.008,,,,2.78
North America,MEX,Mexico,2020,3,0,2020-03-09,7.0,0.0,,,0.054,0.0,,,,2.78
North America,MEX,Mexico,2020,3,1,2020-03-10,7.0,0.0,,,0.054,0.0,,,,2.78
North America,MEX,Mexico,2020,3,2,2020-03-11,8.0,1.0,,,0.062,0.008,,,,2.78
North America,MEX,Mexico,2020,3,3,2020-03-12,12.0,4.0,,,0.093,0.031,,,,2.78
North America,MEX,Mexico,2020,3,4,2020-03-13,26.0,14.0,,,0.202,0.109,,,,2.78
North America,MEX,Mexico,2020,3,5,2020-03-14,41.0,15.0,,,0.318,0.116,,,,2.78
North America,MEX,Mexico,2020,3,6,2020-03-15,53.0,12.0,,,0.411,0.093,,,,2.78
North America,MEX,Mexico,2020,3,0,2020-03-16,82.0,29.0,,,0.636,0.225,,,,2.78
North America,MEX,Mexico,2020,3,1,2020-03-17,93.0,11.0,,,0.721,0.085,,,,2.78
North America,MEX,Mexico,2020,3,2,2020-03-18,118.0,25.0,,,0.915,0.194,,,,2.78
North America,MEX,Mexico,2020,3,3,2020-03-19,164.0,46.0,1.0,1.0,1.272,0.357,0.008,0.008,1.91,2.78
North America,MEX,Mexico,2020,3,4,2020-03-20,203.0,39.0,2.0,1.0,1.574,0.302,0.016,0.008,1.9,2.78
North America,MEX,Mexico,2020,3,5,2020-03-21,251.0,48.0,2.0,0.0,1.947,0.372,0.016,0.0,1.89,8.33
North America,MEX,Mexico,2020,3,6,2020-03-22,316.0,65.0,3.0,1.0,2.451,0.504,0.023,0.008,1.88,8.33
North America,MEX,Mexico,2020,3,0,2020-03-23,367.0,51.0,4.0,1.0,2.846,0.396,0.031,0.008,1.87,19.44
North America,MEX,Mexico,2020,3,1,2020-03-24,405.0,38.0,5.0,1.0,3.141,0.295,0.039,0.008,1.86,52.78
North America,MEX,Mexico,2020,3,2,2020-03-25,475.0,70.0,6.0,1.0,3.684,0.543,0.047,0.008,1.86,52.78
North America,MEX,Mexico,2020,3,3,2020-03-26,585.0,110.0,8.0,2.0,4.537,0.853,0.062,0.016,1.86,63.89
North America,MEX,Mexico,2020,3,4,2020-03-27,717.0,132.0,12.0,4.0,5.561,1.024,0.093,0.031,1.85,63.89
North America,MEX,Mexico,2020,3,5,2020-03-28,848.0,131.0,16.0,4.0,6.577,1.016,0.124,0.031,1.83,63.89
North America,MEX,Mexico,2020,3,6,2020-03-29,993.0,145.0,20.0,4.0,7.702,1.125,0.155,0.031,1.81,63.89
North America,MEX,Mexico,2020,3,0,2020-03-30,1094.0,101.0,28.0,8.0,8.485,0.783,0.217,0.062,1.79,82.41
North America,MEX,Mexico,2020,3,1,2020-03-31,1215.0,121.0,29.0,1.0,9.424,0.938,0.225,0.008,1.77,82.41
North America,MEX,Mexico,2020,4,2,2020-04-01,1378.0,163.0,37.0,8.0,10.688,1.264,0.287,0.062,1.76,82.41
North America,MEX,Mexico,2020,4,3,2020-04-02,1510.0,132.0,50.0,13.0,11.712,1.024,0.388,0.101,1.75,82.41
North America,MEX,Mexico,2020,4,4,2020-04-03,1688.0,178.0,60.0,10.0,13.092,1.381,0.465,0.078,1.74,82.41
North America,MEX,Mexico,2020,4,5,2020-04-04,1890.0,202.0,79.0,19.0,14.659,1.567,0.613,0.147,1.73,82.41
North America,MEX,Mexico,2020,4,6,2020-04-05,2143.0,253.0,94.0,15.0,16.621,1.962,0.729,0.116,1.72,82.41
North America,MEX,Mexico,2020,4,0,2020-04-06,2439.0,296.0,125.0,31.0,18.917,2.296,0.969,0.24,1.71,82.41
North America,MEX,Mexico,2020,4,1,2020-04-07,2785.0,346.0,141.0,16.0,21.6,2.684,1.094,0.124,1.7,82.41
North America,MEX,Mexico,2020,4,2,2020-04-08,3181.0,396.0,174.0,33.0,24.672,3.071,1.35,0.256,1.68,82.41
North America,MEX,Mexico,2020,4,3,2020-04-09,3441.0,260.0,194.0,20.0,26.688,2.017,1.505,0.155,1.66,82.41
North America,MEX,Mexico,2020,4,4,2020-04-10,3844.0,403.0,233.0,39.0,29.814,3.126,1.807,0.302,1.64,82.41
North America,MEX,Mexico,2020,4,5,2020-04-11,4219.0,375.0,273.0,40.0,32.722,2.908,2.117,0.31,1.63,82.41
North America,MEX,Mexico,2020,4,6,2020-04-12,4661.0,442.0,296.0,23.0,36.151,3.428,2.296,0.178,1.61,82.41
North America,MEX,Mexico,2020,4,0,2020-04-13,5014.0,353.0,332.0,36.0,38.888,2.738,2.575,0.279,1.6,82.41
North America,MEX,Mexico,2020,4,1,2020-04-14,5399.0,385.0,406.0,74.0,41.875,2.986,3.149,0.574,1.58,82.41
North America,MEX,Mexico,2020,4,2,2020-04-15,5847.0,448.0,449.0,43.0,45.349,3.475,3.482,0.334,1.57,82.41
North America,MEX,Mexico,2020,4,3,2020-04-16,6297.0,450.0,486.0,37.0,48.839,3.49,3.769,0.287,1.56,82.41
North America,MEX,Mexico,2020,4,4,2020-04-17,6875.0,578.0,546.0,60.0,53.322,4.483,4.235,0.465,1.56,82.41
North America,MEX,Mexico,2020,4,5,2020-04-18,7497.0,622.0,650.0,104.0,58.147,4.824,5.041,0.807,1.55,82.41
North America,MEX,Mexico,2020,4,6,2020-04-19,8261.0,764.0,686.0,36.0,64.072,5.926,5.321,0.279,1.54,82.41
North America,MEX,Mexico,2020,4,0,2020-04-20,8772.0,511.0,712.0,26.0,68.035,3.963,5.522,0.202,1.53,82.41
North America,MEX,Mexico,2020,4,1,2020-04-21,9501.0,729.0,857.0,145.0,73.69,5.654,6.647,1.125,1.53,82.41
North America,MEX,Mexico,2020,4,2,2020-04-22,10544.0,1043.0,970.0,113.0,81.779,8.089,7.523,0.876,1.52,82.41
North America,MEX,Mexico,2020,4,3,2020-04-23,11633.0,1089.0,1069.0,99.0,90.225,8.446,8.291,0.768,1.51,82.41
North America,MEX,Mexico,2020,4,4,2020-04-24,12872.0,1239.0,1221.0,152.0,99.835,9.61,9.47,1.179,1.5,82.41
North America,MEX,Mexico,2020,4,5,2020-04-25,13842.0,970.0,1305.0,84.0,107.358,7.523,10.122,0.652,1.48,82.41
North America,MEX,Mexico,2020,4,6,2020-04-26,14677.0,835.0,1351.0,46.0,113.835,6.476,10.478,0.357,1.46,82.41
North America,MEX,Mexico,2020,4,0,2020-04-27,15529.0,852.0,1434.0,83.0,120.443,6.608,11.122,0.644,1.45,82.41
North America,MEX,Mexico,2020,4,1,2020-04-28,16752.0,1223.0,1569.0,135.0,129.928,9.486,12.169,1.047,1.44,82.41
North America,MEX,Mexico,2020,4,2,2020-04-29,17799.0,1047.0,1732.0,163.0,138.049,8.121,13.433,1.264,1.43,82.41
North America,MEX,Mexico,2020,4,3,2020-04-30,19224.0,1425.0,1859.0,127.0,149.101,11.052,14.418,0.985,1.42,82.41
North America,MEX,Mexico,2020,5,4,2020-05-01,20739.0,1515.0,1972.0,113.0,160.851,11.75,15.295,0.876,1.41,82.41
North America,MEX,Mexico,2020,5,5,2020-05-02,22088.0,1349.0,2061.0,89.0,171.314,10.463,15.985,0.69,1.39,82.41
North America,MEX,Mexico,2020,5,6,2020-05-03,23471.0,1383.0,2154.0,93.0,182.041,10.727,16.706,0.721,1.38,82.41
North America,MEX,Mexico,2020,5,0,2020-05-04,24905.0,1434.0,2271.0,117.0,193.163,11.122,17.614,0.907,1.37,82.41
North America,MEX,Mexico,2020,5,1,2020-05-05,26025.0,1120.0,2507.0,236.0,201.849,8.687,19.444,1.83,1.36,82.41
North America,MEX,Mexico,2020,5,2,2020-05-06,27634.0,1609.0,2704.0,197.0,214.329,12.479,20.972,1.528,1.35,82.41
North America,MEX,Mexico,2020,5,3,2020-05-07,29616.0,1982.0,2961.0,257.0,229.701,15.372,22.965,1.993,1.35,82.41
North America,MEX,Mexico,2020,5,4,2020-05-08,31522.0,1906.0,3160.0,199.0,244.484,14.783,24.509,1.543,1.34,82.41
North America,MEX,Mexico,2020,5,5,2020-05-09,33460.0,1938.0,3353.0,193.0,259.515,15.031,26.006,1.497,1.33,82.41
North America,MEX,Mexico,2020,5,6,2020-05-10,35022.0,1562.0,3465.0,112.0,271.63,12.115,26.874,0.869,1.32,82.41
North America,MEX,Mexico,2020,5,0,2020-05-11,36327.0,1305.0,3573.0,108.0,281.752,10.122,27.712,0.838,1.31,82.41
North America,MEX,Mexico,2020,5,1,2020-05-12,38324.0,1997.0,3926.0,353.0,297.24,15.489,30.45,2.738,1.31,82.41
North America,MEX,Mexico,2020,5,2,2020-05-13,40186.0,1862.0,4220.0,294.0,311.682,14.442,32.73,2.28,1.3,82.41
North America,MEX,Mexico,2020,5,3,2020-05-14,42595.0,2409.0,4477.0,257.0,330.366,18.684,34.724,1.993,1.3,82.41
North America,MEX,Mexico,2020,5,4,2020-05-15,45032.0,2437.0,4767.0,290.0,349.267,18.901,36.973,2.249,1.29,82.41
North America,MEX,Mexico,2020,5,5,2020-05-16,47144.0,2112.0,5045.0,278.0,365.648,16.381,39.129,2.156,1.28,82.41
North America,MEX,Mexico,2020,5,6,2020-05-17,49219.0,2075.0,5177.0,132.0,381.742,16.094,40.153,1.024,1.28,82.41
North America,MEX,Mexico,2020,5,0,2020-05-18,51633.0,2414.0,5332.0,155.0,400.465,18.723,41.355,1.202,1.27,82.41
North America,MEX,Mexico,2020,5,1,2020-05-19,54346.0,2713.0,5666.0,334.0,421.507,21.042,43.945,2.59,1.27,82.41
North America,MEX,Mexico,2020,5,2,2020-05-20,56594.0,2248.0,6090.0,424.0,438.942,17.435,47.234,3.289,1.26,82.41
North America,MEX,Mexico,2020,5,3,2020-05-21,59567.0,2973.0,6510.0,420.0,462.001,23.059,50.491,3.258,1.26,82.41
North America,MEX,Mexico,2020,5,4,2020-05-22,62527.0,2960.0,6989.0,479.0,484.958,22.958,54.207,3.715,1.25,82.41
North America,MEX,Mexico,2020,5,5,2020-05-23,65856.0,3329.0,7179.0,190.0,510.778,25.82,55.68,1.474,1.25,82.41
North America,MEX,Mexico,2020,5,6,2020-05-24,68620.0,2764.0,7394.0,215.0,532.215,21.438,57.348,1.668,1.24,82.41
North America,MEX,Mexico,2020,5,0,2020-05-25,71105.0,2485.0,7633.0,239.0,551.489,19.274,59.201,1.854,1.23,82.41
North America,MEX,Mexico,2020,5,1,2020-05-26,74560.0,3455.0,8134.0,501.0,578.286,26.797,63.087,3.886,1.23,82.41
North America,MEX,Mexico,2020,5,2,2020-05-27,78023.0,3463.0,8597.0,463.0,605.145,26.859,66.678,3.591,1.22,82.41
North America,MEX,Mexico,2020,5,3,2020-05-28,81400.0,3377.0,9044.0,447.0,631.337,26.192,70.145,3.467,1.21,82.41
North America,MEX,Mexico,2020,5,4,2020-05-29,84627.0,3227.0,9415.0,371.0,656.365,25.029,73.023,2.877,1.21,82.41
North America,MEX,Mexico,2020,5,5,2020-05-30,87512.0,2885.0,9779.0,364.0,678.741,22.376,75.846,2.823,1.2,82.41
North America,MEX,Mexico,2020,5,6,2020-05-31,90664.0,3152.0,9930.0,151.0,703.188,24.447,77.017,1.171,1.2,82.41
North America,MEX,Mexico,2020,6,0,2020-06-01,93435.0,2771.0,10167.0,237.0,724.68,21.492,78.855,1.838,1.19,72.69
North America,MEX,Mexico,2020,6,1,2020-06-02,97326.0,3891.0,10637.0,470.0,754.859,30.179,82.5,3.645,1.19,72.69
North America,MEX,Mexico,2020,6,2,2020-06-03,101238.0,3912.0,11729.0,1092.0,785.2,30.341,90.97,8.47,1.19,72.69
North America,MEX,Mexico,2020,6,3,2020-06-04,105680.0,4442.0,12545.0,816.0,819.652,34.452,97.299,6.329,1.18,72.69
North America,MEX,Mexico,2020,6,4,2020-06-05,110026.0,4346.0,13170.0,625.0,853.36,33.707,102.146,4.847,1.18,72.69
North America,MEX,Mexico,2020,6,5,2020-06-06,113619.0,3593.0,13511.0,341.0,881.227,27.867,104.791,2.645,1.17,72.69
North America,MEX,Mexico,2020,6,6,2020-06-07,117103.0,3484.0,13699.0,188.0,908.249,27.022,106.249,1.458,1.17,72.69
North America,MEX,Mexico,2020,6,0,2020-06-08,120102.0,2999.0,14053.0,354.0,931.509,23.26,108.995,2.746,1.16,72.69
North America,MEX,Mexico,2020,6,1,2020-06-09,124301.0,4199.0,14649.0,596.0,964.076,32.567,113.617,4.623,1.16,72.69
North America,MEX,Mexico,2020,6,2,2020-06-10,129184.0,4883.0,15357.0,708.0,1001.949,37.872,119.109,5.491,1.16,72.69
North America,MEX,Mexico,2020,6,3,2020-06-11,133974.0,4790.0,15944.0,587.0,1039.1,37.151,123.661,4.553,1.16,72.69
North America,MEX,Mexico,2020,6,4,2020-06-12,139196.0,5222.0,16448.0,504.0,1079.602,40.502,127.57,3.909,1.15,70.83
North America,MEX,Mexico,2020,6,5,2020-06-13,142690.0,3494.0,16872.0,424.0,1106.701,27.099,130.859,3.289,1.15,70.83
North America,MEX,Mexico,2020,6,6,2020-06-14,146837.0,4147.0,17141.0,269.0,1138.865,32.164,132.945,2.086,1.14,70.83
North America,MEX,Mexico,2020,6,0,2020-06-15,150264.0,3427.0,17580.0,439.0,1165.445,26.58,136.35,3.405,1.14,70.83
North America,MEX,Mexico,2020,6,1,2020-06-16,154863.0,4599.0,18310.0,730.0,1201.115,35.67,142.012,5.662,1.14,70.83
North America,MEX,Mexico,2020,6,2,2020-06-17,159793.0,4930.0,19080.0,770.0,1239.351,38.237,147.984,5.972,1.14,70.83
North America,MEX,Mexico,2020,6,3,2020-06-18,165455.0,5662.0,19747.0,667.0,1283.266,43.914,153.157,5.173,1.14,70.83
North America,MEX,Mexico,2020,6,4,2020-06-19,170485.0,5030.0,20394.0,647.0,1322.278,39.013,158.175,5.018,1.13,70.83
North America,MEX,Mexico,2020,6,5,2020-06-20,175202.0,4717.0,20781.0,387.0,1358.863,36.585,161.177,3.002,1.13,70.83
North America,MEX,Mexico,2020,6,6,2020-06-21,180545.0,5343.0,21825.0,1044.0,1400.304,41.44,169.274,8.097,1.12,70.83
North America,MEX,Mexico,2020,6,0,2020-06-22,185122.0,4577.0,22584.0,759.0,1435.803,35.499,175.161,5.887,1.12,70.83
North America,MEX,Mexico,2020,6,1,2020-06-23,191410.0,6288.0,23377.0,793.0,1484.572,48.77,181.312,6.15,1.12,70.83
